ARID3B	NM_006465
ARID4A	NM_023001
ARID4B	NM_016374
ARID5A	NM_212481
ARID5B	NM_032199
ARIH1	NM_005744
ARIH2	NM_006321
ARIH2OS	NM_001123040
ARL1	NM_001177
ARL10	NM_173664
ARL11	NM_138450
ARL13B	NM_182896
ARL14	NM_025047
ARL14EP	NM_152316
ARL14EPL	NM_001195581
ARL15	NM_019087
ARL17A	NM_016632
ARL17B	NM_001039083
ARL2	NM_001667
ARL2BP	NM_012106
ARL3	NM_004311
ARL4A	NM_005738
ARL4D	NM_001661
ARL5B	NM_178815
ARL5C	NM_001143968
ARL6	NM_032146
ARL6IP1	NM_015161
ARL6IP4	NM_018694
ARL6IP5	NM_006407
ARL6IP6	NM_152522
ARL8A	NM_138795
ARL8B	NM_018184
ARL9	NM_206919
ARMC1	NM_018120
ARMC10	NM_031905
ARMC12	NM_145028
ARMC2	NM_032131
ARMC3	NM_173081
ARMC4	NM_018076
ARMC5	NM_024742
ARMC6	NM_033415
ARMC7	NM_024585
ARMC8	NM_015396
ARMC9	NM_025139
ARMCX1	NM_016608
ARMCX2	NM_014782
ARMCX3	NM_016607
ARMCX4	NM_001256155
ARMCX5	NM_022838
ARMCX6	NM_019007
ARNTL	NM_001178
ARNTL2	NM_020183
ARPC1A	NM_006409
ARPC1B	NM_005720
ARPC2	NM_005731
ARPC4	NM_001024959
ARPC5	NM_005717
ARPC5L	NM_030978
ARPP19	NM_006628
ARPP21	NM_198399
ARR3	NM_004312
ARRB1	NM_004041
ARRB2	NM_004313
ARRDC1	NM_152285
ARRDC2	NM_015683
ARRDC3	NM_020801
ARRDC4	NM_183376
ARSA	NM_000487
ARSB	NM_000046
ARSE	NM_000047
ARSG	NM_014960
ARSH	NM_001011719
ARSI	NM_001012301
ARSJ	NM_024590
ARSK	NM_198150
ART1	NM_004314
ART3	NM_001179
ART4	NM_021071
ART5	NM_053017
ARTN	NM_057090
ARV1	NM_022786
ARVCF	NM_001670
AS3MT	NM_020682
ASAH1	NM_004315
ASAH2	NM_019893
ASAP1	NM_018482
ASAP2	NM_003887
ASAP3	NM_017707
ASB1	NM_001040445
ASB10	NM_080871
ASB17	NM_080868
ASB18	NM_212556
ASB3	NM_016115
ASB4	NM_016116
ASB6	NM_017873
ASB7	NM_024708
ASCC2	NM_032204
ASCC3	NM_006828
ASCL2	NM_005170
ASCL4	NM_203436
ASF1A	NM_014034
ASF1B	NM_018154
ASGR1	NM_001671
ASGR2	NM_080914
ASH1L	NM_018489
ASH2L	NM_004674
ASIC1	NM_020039
ASIC2	NM_183377
ASIC3	NM_004769
ASL	NM_000048
ASMT	NM_004043
ASMTL	NM_004192
ASNA1	NM_004317
ASNS	NM_183356
ASNSD1	NM_019048
ASPA	NM_000049
